"MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","CARRIER","TAIL_NUM","FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","LONG","LAT"
3,31,4,2016-03-31,"AA","N785AA","1","JFK","LAX","0900","0854",-6.00,0.00,"1234","1209",-25.00,0.00,0.00,"",394.00,375.00,332.00,2475.00,,,,,,40.63975111,-73.77892556
3,1,2,2016-03-01,"AA","N796AA","2","LAX","JFK","0900","0931",31.00,31.00,"1729","1743",14.00,14.00,0.00,"",329.00,312.00,285.00,2475.00,,,,,,33.94253611,-118.4080744
3,31,4,2016-03-31,"AA","N354AA","6","OGG","DFW","1700","1651",-9.00,0.00,"0501","0438",-23.00,0.00,0.00,"",421.00,407.00,393.00,3711.00,,,,,,20.89864972,-156.4304578
3,1,2,2016-03-01,"AA","N354AA","7","DFW","OGG","0905","0937",32.00,32.00,"1339","1358",19.00,19.00,0.00,"",514.00,501.00,482.00,3711.00,19.00,0.00,0.00,0.00,0.00,32.89595056,-97.0372
3,1,2,2016-03-01,"AA","N387AA","8","HNL","DFW","1840","1833",-7.00,0.00,"0559","0522",-37.00,0.00,0.00,"",439.00,409.00,383.00,3784.00,,,,,,21.31869111,-157.9224072
3,7,1,2016-03-07,"AA","N365AA","5","DFW","HNL","1055","1054",-1.00,0.00,"1539","1554",15.00,15.00,0.00,"",524.00,540.00,505.00,3784.00,0.00,0.00,15.00,0.00,0.00,32.89595056,-97.0372
3,28,1,2016-03-28,"AA","N792AA","9","JFK","SFO","0700","0654",-6.00,0.00,"1035","1042",7.00,7.00,0.00,"",395.00,408.00,376.00,2586.00,,,,,,40.63975111,-73.77892556
3,21,1,2016-03-21,"AA","N783AA","12","SFO","JFK","1125","1131",6.00,6.00,"2000","2013",13.00,13.00,0.00,"",335.00,342.00,290.00,2586.00,,,,,,37.61900194,-122.3748433
3,31,4,2016-03-31,"AA","N3CYAA","25","DFW","PHL","1250","1246",-4.00,0.00,"1654","1646",-8.00,0.00,0.00,"",184.00,180.00,151.00,1303.00,,,,,,32.89595056,-97.0372
3,1,2,2016-03-01,"AA","N3KVAA","25","PHL","DFW","1755","1750",-5.00,0.00,"2057","2051",-6.00,0.00,0.00,"",242.00,241.00,199.00,1303.00,,,,,,39.87195278,-75.24114083
3,31,4,2016-03-31,"AA","N889AA","36","SFO","DFW","0820","0820",0.00,0.00,"1349","1339",-10.00,0.00,0.00,"",209.00,199.00,180.00,1464.00,,,,,,37.61900194,-122.3748433
3,1,2,2016-03-01,"AA","N871AA","37","DFW","SFO","1845","1844",-1.00,0.00,"2039","2027",-12.00,0.00,0.00,"",234.00,223.00,205.00,1464.00,,,,,,32.89595056,-97.0372
3,4,5,2016-03-04,"AA","N3LYAA","122","ORD","SAN","2020","2018",-2.00,0.00,"2240","2250",10.00,10.00,0.00,"",260.00,272.00,241.00,1723.00,,,,,,41.979595,-87.90446417
3,5,6,2016-03-05,"AA","N3KFAA","122","SAN","ORD","2250","2245",-5.00,0.00,"0455","0432",-23.00,0.00,0.00,"",245.00,227.00,204.00,1723.00,,,,,,32.73355611,-117.1896567
3,25,5,2016-03-25,"AA","N3LBAA","35","EWR","DFW","0500","0455",-5.00,0.00,"0810","0755",-15.00,0.00,0.00,"",250.00,240.00,212.00,1372.00,,,,,,40.69249722,-74.16866056
3,1,2,2016-03-01,"AA","N3BTAA","128","DFW","EWR","1905","1923",18.00,18.00,"2323","2333",10.00,10.00,0.00,"",198.00,190.00,169.00,1372.00,,,,,,32.89595056,-97.0372
3,31,4,2016-03-31,"AA","N3KBAA","41","ORD","SEA","1715","1816",61.00,61.00,"1952","2033",41.00,41.00,0.00,"",277.00,257.00,227.00,1721.00,0.00,0.00,0.00,0.00,41.00,41.979595,-87.90446417
3,1,2,2016-03-01,"AA","N3MFAA","42","SEA","ORD","1040","1113",33.00,33.00,"1642","1725",43.00,43.00,0.00,"",242.00,252.00,196.00,1721.00,0.00,33.00,10.00,0.00,0.00,47.44898194,-122.3093131
